Gender,Age,Household Income,Education,Location (Census Region),count
Female,> 60,"$50,000 - $99,999",High school degree,New England,166320
Male,18-29,"$100,000 - $149,999",High school degree,New England,78399
Female,18-29,"$100,000 - $149,999",High school degree,New England,61875
Male,30-44,"$100,000 - $149,999",High school degree,New England,94717
Female,30-44,"$100,000 - $149,999",High school degree,New England,54686
Male,45-60,"$100,000 - $149,999",High school degree,New England,86083
Female,45-60,"$100,000 - $149,999",High school degree,New England,69459
Male,> 60,"$100,000 - $149,999",High school degree,New England,86500
Female,> 60,"$100,000 - $149,999",High school degree,New England,81052
Male,18-29,"$150,000+",High school degree,New England,128847
Female,18-29,"$150,000+",High school degree,New England,81795
Male,30-44,"$150,000+",High school degree,New England,99095
Female,30-44,"$150,000+",High school degree,New England,48053
Male,45-60,"$150,000+",High school degree,New England,118667
Female,45-60,"$150,000+",High school degree,New England,89147
Male,> 60,"$150,000+",High school degree,New England,87908
Female,> 60,"$150,000+",High school degree,New England,80151
Male,18-29,"$0 - $24,999",Some college or Associate degree,New England,14170
Female,18-29,"$0 - $24,999",Some college or Associate degree,New England,18848
Male,30-44,"$0 - $24,999",Some college or Associate degree,New England,13665
Female,30-44,"$0 - $24,999",Some college or Associate degree,New England,26828
Male,45-60,"$0 - $24,999",Some college or Associate degree,New England,15864
Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,26146
Male,> 60,"$0 - $24,999",Some college or Associate degree,New England,36707
Female,> 60,"$0 - $24,999",Some college or Associate degree,New England,81825
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,New England,21476
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,New England,35311
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,New England,25210
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,New England,45964
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,New England,24110
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,New England,33668
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,New England,63552
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,New England,106536
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,New England,63922
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,New England,71243
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,93957
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,99366
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,72630
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,93323
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,119691
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,154790
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,New England,64053
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,New England,59100
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,89691
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,78609
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,81895
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,82154
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,79426
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,96062
Male,18-29,"$150,000+",Some college or Associate degree,New England,109706
Female,18-29,"$150,000+",Some college or Associate degree,New England,83533
Male,30-44,"$150,000+",Some college or Associate degree,New England,115423
Female,30-44,"$150,000+",Some college or Associate degree,New England,86371
Male,45-60,"$150,000+",Some college or Associate degree,New England,132495
Female,45-60,"$150,000+",Some college or Associate degree,New England,126793
Male,> 60,"$150,000+",Some college or Associate degree,New England,89475
Female,> 60,"$150,000+",Some college or Associate degree,New England,104206
Male,18-29,"$0 - $24,999",Bachelor degree,New England,7840
Female,18-29,"$0 - $24,999",Bachelor degree,New England,12047
Male,30-44,"$0 - $24,999",Bachelor degree,New England,6734
Female,30-44,"$0 - $24,999",Bachelor degree,New England,8826
Male,45-60,"$0 - $24,999",Bachelor degree,New England,7861
Female,45-60,"$0 - $24,999",Bachelor degree,New England,14363
Male,> 60,"$0 - $24,999",Bachelor degree,New England,19435
Female,> 60,"$0 - $24,999",Bachelor degree,New England,32656
Male,18-29,"$25,000 - $49,999",Bachelor degree,New England,14125
Female,18-29,"$25,000 - $49,999",Bachelor degree,New England,20872
Male,30-44,"$25,000 - $49,999",Bachelor degree,New England,15971
Female,30-44,"$25,000 - $49,999",Bachelor degree,New England,22906
Male,45-60,"$25,000 - $49,999",Bachelor degree,New England,14411
Female,45-60,"$25,000 - $49,999",Bachelor degree,New England,20915
Male,> 60,"$25,000 - $49,999",Bachelor degree,New England,33891
Female,> 60,"$25,000 - $49,999",Bachelor degree,New England,50314
Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,51302
Female,18-29,"$50,000 - $99,999",Bachelor degree,New England,61916
Male,30-44,"$50,000 - $99,999",Bachelor degree,New England,63076
Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,81656
Male,45-60,"$50,000 - $99,999",Bachelor degree,New England,38506
Female,45-60,"$50,000 - $99,999",Bachelor degree,New England,60660
Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,93394
Female,> 60,"$50,000 - $99,999",Bachelor degree,New England,113216
Male,18-29,"$100,000 - $149,999",Bachelor degree,New England,57652
Female,18-29,"$100,000 - $149,999",Bachelor degree,New England,72674
Male,30-44,"$100,000 - $149,999",Bachelor degree,New England,93794
Female,30-44,"$100,000 - $149,999",Bachelor degree,New England,97228
Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,52860
Female,45-60,"$100,000 - $149,999",Bachelor degree,New England,70638
Male,> 60,"$100,000 - $149,999",Bachelor degree,New England,77744
Female,> 60,"$100,000 - $149,999",Bachelor degree,New England,77918
Male,18-29,"$150,000+",Bachelor degree,New England,132857
Female,18-29,"$150,000+",Bachelor degree,New England,142265
Male,30-44,"$150,000+",Bachelor degree,New England,234917
Female,30-44,"$150,000+",Bachelor degree,New England,214393
Male,45-60,"$150,000+",Bachelor degree,New England,220340
Female,45-60,"$150,000+",Bachelor degree,New England,213310
Male,> 60,"$150,000+",Bachelor degree,New England,143097
Female,> 60,"$150,000+",Bachelor degree,New England,130332
Male,18-29,"$0 - $24,999",Graduate degree,New England,3031
Female,18-29,"$0 - $24,999",Graduate degree,New England,3658
Male,30-44,"$0 - $24,999",Graduate degree,New England,4974
Female,30-44,"$0 - $24,999",Graduate degree,New England,7798
Male,45-60,"$0 - $24,999",Graduate degree,New England,3993
Female,45-60,"$0 - $24,999",Graduate degree,New England,8213
Male,> 60,"$0 - $24,999",Graduate degree,New England,13925
Female,> 60,"$0 - $24,999",Graduate degree,New England,21232
Male,18-29,"$25,000 - $49,999",Graduate degree,New England,4827
Female,18-29,"$25,000 - $49,999",Graduate degree,New England,5184
Male,30-44,"$25,000 - $49,999",Graduate degree,New England,7905
Female,30-44,"$25,000 - $49,999",Graduate degree,New England,9398
Male,45-60,"$25,000 - $49,999",Graduate degree,New England,6146
Female,45-60,"$25,000 - $49,999",Graduate degree,New England,7823
Male,> 60,"$25,000 - $49,999",Graduate degree,New England,22521
Female,> 60,"$25,000 - $49,999",Graduate degree,New England,31344
Male,18-29,"$50,000 - $99,999",Graduate degree,New England,13399
Female,18-29,"$50,000 - $99,999",Graduate degree,New England,23737
Male,30-44,"$50,000 - $99,999",Graduate degree,New England,36116
Female,30-44,"$50,000 - $99,999",Graduate degree,New England,61326
Male,45-60,"$50,000 - $99,999",Graduate degree,New England,18100
Female,45-60,"$50,000 - $99,999",Graduate degree,New England,42134
Male,> 60,"$50,000 - $99,999",Graduate degree,New England,72167
Female,> 60,"$50,000 - $99,999",Graduate degree,New England,86769
Male,18-29,"$100,000 - $149,999",Graduate degree,New England,17149
Female,18-29,"$100,000 - $149,999",Graduate degree,New England,29336
Male,30-44,"$100,000 - $149,999",Graduate degree,New England,47366
Female,30-44,"$100,000 - $149,999",Graduate degree,New England,77175
Male,45-60,"$100,000 - $149,999",Graduate degree,New England,34080
Female,45-60,"$100,000 - $149,999",Graduate degree,New England,58861
Male,> 60,"$100,000 - $149,999",Graduate degree,New England,69772
Female,> 60,"$100,000 - $149,999",Graduate degree,New England,70870
Male,18-29,"$150,000+",Graduate degree,New England,31789
Female,18-29,"$150,000+",Graduate degree,New England,48778
Male,30-44,"$150,000+",Graduate degree,New England,185477
Female,30-44,"$150,000+",Graduate degree,New England,259990
Male,45-60,"$150,000+",Graduate degree,New England,215658
Female,45-60,"$150,000+",Graduate degree,New England,238086
Male,> 60,"$150,000+",Graduate degree,New England,167941
Female,> 60,"$150,000+",Graduate degree,New England,142123
Male,18-29,"$0 - $24,999",Less than high school degree,Middle Atlantic,32940
Female,18-29,"$0 - $24,999",Less than high school degree,Middle Atlantic,30869
Male,30-44,"$0 - $24,999",Less than high school degree,Middle Atlantic,41852
Female,30-44,"$0 - $24,999",Less than high school degree,Middle Atlantic,55186
Male,45-60,"$0 - $24,999",Less than high school degree,Middle Atlantic,57573
Female,45-60,"$0 - $24,999",Less than high school degree,Middle Atlantic,67273
Male,> 60,"$0 - $24,999",Less than high school degree,Middle Atlantic,135205
Female,> 60,"$0 - $24,999",Less than high school degree,Middle Atlantic,223404
Male,18-29,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,49999
Female,18-29,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,39066
Male,30-44,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,69696
Female,30-44,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,64408
Male,45-60,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,75094
Female,45-60,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,76996
Male,> 60,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,111037
Female,> 60,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,132154
Male,18-29,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,81323
Female,18-29,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,62578
Male,30-44,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,114301
Female,30-44,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,85077
Male,45-60,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,131845
Female,45-60,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,112627
Male,> 60,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,138826
Female,> 60,"$50,000 - $99,999",Less than high school degree,Middle Atlantic,142417
Male,18-29,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,48618
Female,18-29,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,37468
Male,30-44,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,58467
Female,30-44,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,41177
Male,45-60,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,81989
Female,45-60,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,61052
Male,> 60,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,64875
Female,> 60,"$100,000 - $149,999",Less than high school degree,Middle Atlantic,73578
Male,18-29,"$150,000+",Less than high school degree,Middle Atlantic,78116
Female,18-29,"$150,000+",Less than high school degree,Middle Atlantic,52296
Male,30-44,"$150,000+",Less than high school degree,Middle Atlantic,68747
Female,30-44,"$150,000+",Less than high school degree,Middle Atlantic,40939
Male,45-60,"$150,000+",Less than high school degree,Middle Atlantic,95788
Female,45-60,"$150,000+",Less than high school degree,Middle Atlantic,65930
Male,> 60,"$150,000+",Less than high school degree,Middle Atlantic,77426
Female,> 60,"$150,000+",Less than high school degree,Middle Atlantic,89237
Male,18-29,"$0 - $24,999",High school degree,Middle Atlantic,73056
Female,18-29,"$0 - $24,999",High school degree,Middle Atlantic,85129
Male,30-44,"$0 - $24,999",High school degree,Middle Atlantic,76359
Female,30-44,"$0 - $24,999",High school degree,Middle Atlantic,101290
Male,45-60,"$0 - $24,999",High school degree,Middle Atlantic,98826
Female,45-60,"$0 - $24,999",High school degree,Middle Atlantic,117244
Male,> 60,"$0 - $24,999",High school degree,Middle Atlantic,210217
Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic,371738
Male,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic,128915
Female,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic,118228
Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic,149848
Female,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic,144398
Male,45-60,"$25,000 - $49,999",High school degree,Middle Atlantic,140286
Female,45-60,"$25,000 - $49,999",High school degree,Middle Atlantic,155582
Male,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic,289877
Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic,407728
Male,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic,283787
Female,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic,228034
Male,30-44,"$50,000 - $99,999",High school degree,Middle Atlantic,340168
Female,30-44,"$50,000 - $99,999",High school degree,Middle Atlantic,234105
Male,45-60,"$50,000 - $99,999",High school degree,Middle Atlantic,343017
Female,45-60,"$50,000 - $99,999",High school degree,Middle Atlantic,301661
Male,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,467870
Female,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,529520
Male,18-29,"$100,000 - $149,999",High school degree,Middle Atlantic,199657
Female,18-29,"$100,000 - $149,999",High school degree,Middle Atlantic,139918
Male,30-44,"$100,000 - $149,999",High school degree,Middle Atlantic,234334
Female,30-44,"$100,000 - $149,999",High school degree,Middle Atlantic,145736
Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,263882
Female,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,199466
Male,> 60,"$100,000 - $149,999",High school degree,Middle Atlantic,234713
Female,> 60,"$100,000 - $149,999",High school degree,Middle Atlantic,237944
Male,18-29,"$150,000+",High school degree,Middle Atlantic,277029
Female,18-29,"$150,000+",High school degree,Middle Atlantic,195235
Male,30-44,"$150,000+",High school degree,Middle Atlantic,203153
Female,30-44,"$150,000+",High school degree,Middle Atlantic,121717
Male,45-60,"$150,000+",High school degree,Middle Atlantic,283123
Female,45-60,"$150,000+",High school degree,Middle Atlantic,214145
Male,> 60,"$150,000+",High school degree,Middle Atlantic,200656
Female,> 60,"$150,000+",High school degree,Middle Atlantic,239399
Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,56373
Female,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,71923
Male,30-44,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,51548
Female,30-44,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,80609
Male,45-60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,48441
Female,45-60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,81251
Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,109569
Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,200576
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,86057
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,115837
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,96475
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,132423
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,76850
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,127578
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,155911
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,256281
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,216984
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,224981
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,266737
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,280488
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,214014
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,258824
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,339578
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,398138
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,160330
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,155009
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,234808
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,204068
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,216230
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,227568
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,195044
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,213162
Male,18-29,"$150,000+",Some college or Associate degree,Middle Atlantic,273068
Female,18-29,"$150,000+",Some college or Associate degree,Middle Atlantic,212857
Male,30-44,"$150,000+",Some college or Associate degree,Middle Atlantic,274970
Female,30-44,"$150,000+",Some college or Associate degree,Middle Atlantic,202864
Male,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic,344893
Female,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic,320550
Male,> 60,"$150,000+",Some college or Associate degree,Middle Atlantic,219440
Female,> 60,"$150,000+",Some college or Associate degree,Middle Atlantic,233085
Male,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic,33190
Female,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic,39939
Male,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic,26334
Female,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic,40959
Male,45-60,"$0 - $24,999",Bachelor degree,Middle Atlantic,27054
Female,45-60,"$0 - $24,999",Bachelor degree,Middle Atlantic,36788
Male,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic,51345
Female,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic,87726
Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,46897
Female,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,63626
Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,47795
Female,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,80649
Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,42432
Female,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,52747
Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,84816
Female,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,120466
Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,146718
Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,188217
Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,185784
Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,238856
Male,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,119411
Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,162981
Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,220294
Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,248110
Male,18-29,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,146899
Female,18-29,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,178823
Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,250358
Female,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,268083
Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,155074
Female,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,194241
Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,172715
Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,159495
Male,18-29,"$150,000+",Bachelor degree,Middle Atlantic,341833
Female,18-29,"$150,000+",Bachelor degree,Middle Atlantic,365036
Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,630232
Female,30-44,"$150,000+",Bachelor degree,Middle Atlantic,578099
Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic,518568
Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,511025
Male,> 60,"$150,000+",Bachelor degree,Middle Atlantic,305774
Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,287632
Male,18-29,"$0 - $24,999",Graduate degree,Middle Atlantic,6851
Female,18-29,"$0 - $24,999",Graduate degree,Middle Atlantic,12965
Male,30-44,"$0 - $24,999",Graduate degree,Middle Atlantic,13938
Female,30-44,"$0 - $24,999",Graduate degree,Middle Atlantic,22326
Male,45-60,"$0 - $24,999",Graduate degree,Middle Atlantic,14763
Female,45-60,"$0 - $24,999",Graduate degree,Middle Atlantic,19827
Male,> 60,"$0 - $24,999",Graduate degree,Middle Atlantic,35819
Female,> 60,"$0 - $24,999",Graduate degree,Middle Atlantic,47395
Male,18-29,"$25,000 - $49,999",Graduate degree,Middle Atlantic,9679
Female,18-29,"$25,000 - $49,999",Graduate degree,Middle Atlantic,17948
Male,30-44,"$25,000 - $49,999",Graduate degree,Middle Atlantic,20002
Female,30-44,"$25,000 - $49,999",Graduate degree,Middle Atlantic,31376
Male,45-60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,14565
Female,45-60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,25364
Male,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,50317
Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,75001
Male,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic,36324
Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic,60808
Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,102411
Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,154624
Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,67944
Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,108129
Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,138429
Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,190269
Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,36585
Female,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,73848
Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,138741
Female,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,209797
Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,90752
Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,139471
Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,143300
Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,160880
Male,18-29,"$150,000+",Graduate degree,Middle Atlantic,80669
Female,18-29,"$150,000+",Graduate degree,Middle Atlantic,129138
Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,459782
Female,30-44,"$150,000+",Graduate degree,Middle Atlantic,621755
Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,454969
Female,45-60,"$150,000+",Graduate degree,Middle Atlantic,516166
Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,374867
Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,300845
Male,18-29,"$0 - $24,999",Less than high school degree,East North Central,38037
Female,18-29,"$0 - $24,999",Less than high school degree,East North Central,43806
Male,30-44,"$0 - $24,999",Less than high school degree,East North Central,43091
Female,30-44,"$0 - $24,999",Less than high school degree,East North Central,57560
Male,45-60,"$0 - $24,999",Less than high school degree,East North Central,54421
Female,45-60,"$0 - $24,999",Less than high school degree,East North Central,55786
Male,> 60,"$0 - $24,999",Less than high school degree,East North Central,118048
Female,> 60,"$0 - $24,999",Less than high school degree,East North Central,157884
