Gender,Age,Household Income,Education,Location (Census Region),count,llm_preference,llm_prior,llm_comma_care,llm_sentence_example,llm_data,llm_data_care,llm_grammar_importance
Male,45-60,"$150,000+",Bachelor degree,East South Central,155642,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",High school degree,South Atlantic,645359,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,78609,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",Bachelor degree,New England,77744,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,"$0 - $24,999",High school degree,Pacific,88175,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$100,000 - $149,999",High school degree,Mountain,131501,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,> 60,"$50,000 - $99,999",High school degree,Pacific,319230,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$150,000+",Some college or Associate degree,Middle Atlantic,273068,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,454969,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,223668,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",High school degree,Middle Atlantic,234105,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,419896,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",High school degree,Mountain,155753,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",High school degree,East North Central,157997,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain,148896,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,280488,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,280488,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific,157406,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,339578,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$25,000 - $49,999",High school degree,East North Central,175310,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,18-29,"$50,000 - $99,999",High school degree,Pacific,318964,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$50,000 - $99,999",High school degree,Middle Atlantic,340168,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$150,000+",Graduate degree,East North Central,445827,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$100,000 - $149,999",High school degree,East North Central,239781,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,202466,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$150,000+",Bachelor degree,East North Central,476771,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,511025,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$0 - $24,999",Less than high school degree,East North Central,157884,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,30-44,"$150,000+",Graduate degree,West North Central,142381,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$25,000 - $49,999",High school degree,Pacific,149603,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important
Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,199908,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,209554,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,306221,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific,154173,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$0 - $24,999",Less than high school degree,South Atlantic,198700,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,> 60,"$100,000 - $149,999",Bachelor degree,Mountain,117271,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$50,000 - $99,999",High school degree,Pacific,319230,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$25,000 - $49,999",High school degree,West North Central,176499,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,209257,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$150,000+",High school degree,Pacific,452941,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$25,000 - $49,999",Less than high school degree,East North Central,56478,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",High school degree,South Atlantic,281680,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,205578,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,204068,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific,300028,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,240326,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,269146,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$100,000 - $149,999",Bachelor degree,New England,93794,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$150,000+",Some college or Associate degree,Pacific,405071,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Graduate degree,Pacific,449275,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important
Male,30-44,"$150,000+",Bachelor degree,East North Central,476771,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Some college or Associate degree,Mountain,144738,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,152638,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$0 - $24,999",High school degree,West North Central,45703,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,30-44,"$150,000+",Less than high school degree,East North Central,31054,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,94215,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,"$150,000+",Bachelor degree,Pacific,401340,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Graduate degree,West South Central,299970,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",High school degree,East South Central,144766,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$150,000+",High school degree,Middle Atlantic,239399,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,> 60,"$0 - $24,999",High school degree,Pacific,224853,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",Less than high school degree,New England,33144,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,52747,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$150,000+",Some college or Associate degree,Mountain,210054,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,223934,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,81656,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,139331,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,128252,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,240326,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$50,000 - $99,999",High school degree,West South Central,460291,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,> 60,"$150,000+",Bachelor degree,Middle Atlantic,305774,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West South Central,362403,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Some college or Associate degree,Pacific,508512,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",High school degree,West North Central,122059,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,177072,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,30-44,"$25,000 - $49,999",High school degree,West North Central,70072,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central,51720,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",High school degree,South Atlantic,307559,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$150,000+",Some college or Associate degree,Pacific,405071,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,326382,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,176964,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",High school degree,Pacific,321185,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",High school degree,South Atlantic,307559,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Graduate degree,Pacific,449275,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important
Female,> 60,"$50,000 - $99,999",High school degree,East North Central,685328,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$150,000+",High school degree,New England,81795,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$150,000+",Some college or Associate degree,New England,104206,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West South Central,159389,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,232219,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$25,000 - $49,999",High school degree,West North Central,176499,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$25,000 - $49,999",High school degree,East South Central,88269,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,159495,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$0 - $24,999",Graduate degree,South Atlantic,86866,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Mountain,223449,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",Less than high school degree,Mountain,28046,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important
Female,18-29,"$25,000 - $49,999",High school degree,West South Central,198833,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$150,000+",Bachelor degree,West South Central,398874,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,221170,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",High school degree,Middle Atlantic,234713,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Male,> 60,"$50,000 - $99,999",Bachelor degree,Mountain,171781,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,223668,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,127260,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,329157,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$0 - $24,999",High school degree,East South Central,112134,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,30-44,"$150,000+",Bachelor degree,South Atlantic,745581,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
