Gender,Age,Household Income,Education,Location (Census Region),llm_preference,llm_prior,llm_comma_care,llm_sentence_example,llm_data,llm_data_care,llm_grammar_importance
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$0 - $24,999",Bachelor degree,New England,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,nan,Some college or Associate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$150,000+",Graduate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,30-44,nan,Graduate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$100,000 - $149,999",Graduate degree,New England,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,45-60,"$150,000+",Graduate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Bachelor degree,nan,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$0 - $24,999",High school degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,> 60,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$25,000 - $49,999",Bachelor degree,New England,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,> 60,"$25,000 - $49,999",Bachelor degree,Mountain,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,nan,Bachelor degree,New England,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,nan,Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,nan,Graduate degree,New England,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,> 60,nan,Some college or Associate degree,East South Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$0 - $24,999",Bachelor degree,East South Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,nan,Bachelor degree,West North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,nan,Bachelor degree,East South Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$25,000 - $49,999",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,> 60,nan,Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,30-44,nan,Bachelor degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Male,45-60,"$150,000+",Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,"$150,000+",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$150,000+",High school degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",High school degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",High school degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$25,000 - $49,999",Graduate degree,New England,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$100,000 - $149,999",Bachelor degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,nan,Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Graduate degree,Mountain,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important
Female,> 60,nan,Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,> 60,"$0 - $24,999",Graduate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important
Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,nan,High school degree,West South Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important
Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,18-29,nan,High school degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,nan,Some college or Associate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Male,> 60,"$150,000+",Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$0 - $24,999",Bachelor degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$150,000+",Some college or Associate degree,East South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$150,000+",Bachelor degree,West North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$25,000 - $49,999",Graduate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,nan,Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$25,000 - $49,999",Graduate degree,West North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$0 - $24,999",Less than high school degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
Female,> 60,nan,Graduate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important
Female,45-60,"$0 - $24,999",Less than high school degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,30-44,nan,High school degree,West North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,nan,Some college or Associate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,nan,Graduate degree,East South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Female,30-44,nan,Graduate degree,East South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,nan,Less than high school degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,nan,Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$0 - $24,999",Bachelor degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,nan,Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,"$50,000 - $99,999",High school degree,Mountain,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,45-60,nan,Graduate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,30-44,"$150,000+",Bachelor degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,nan,Bachelor degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
nan,nan,nan,nan,nan,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important
Female,> 60,"$0 - $24,999",High school degree,West South Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Some college or Associate degree,South Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$150,000+",Graduate degree,West South Central,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important
Male,18-29,"$0 - $24,999",Graduate degree,West North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,18-29,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
Female,> 60,nan,Some college or Associate degree,East North Central,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important
